project,repository,description,last activity,selected 
4diac,org.eclipse.4diac.forte.git,"Unnamed repository, edit this file 'description' to name the repository.",5 days,1
acceleo,org.eclipse.acceleo.git,,5 days,1
actf,org.eclipse.actf.ai.git,technology.actf project repository,6 months,1
actf,org.eclipse.actf.common.git,technology.actf project repository,6 months,1
actf,org.eclipse.actf.examples.git,technology.actf project repository,6 months,0
actf,org.eclipse.actf.visualization.git,technology.actf project repository,6 months,1
actf,org.eclipse.actf.visualization.releng.git,ACTF Visualization releng,19 months,0
aether,aether-ant.git,Aether Ant Tasks,2 years,0
aether,aether-core.git,Aether Core,2 years,0
aether,aether-demo.git,Aether Demonstration and Examples,2 years,0
aether,aether-update-site.git,Aether Update Site Tooling,2 years,0
agail,agail.git,"Unnamed repository, edit this file 'description' to name the repository.",3 weeks,1
ajdt,org.eclipse.ajdt.git,AspectJ Development Tools (AJDT) --- Eclipse based tooling for AspectJ,41 hours,1
amalgam,org.eclipse.amalgam.git,Modeling Amalgam git repository,3 weeks,1
amp,org.eclipse.amp.git,Agent Modeling Platform (AMP) http://eclipse.org/amp,4 years,0
app4mc,org.eclipse.app4mc.git,Application Platform Project for MultiCore (APP4MC) - Project,5 days,1
app4mc,org.eclipse.app4mc.web.git,Application Platform Project for MultiCore (APP4MC) - Repository,5 weeks,0
apricot,org.eclipse.apricot.git,Apricot project repository,5 years,0
aspectj,org.aspectj.git,aspectj project repository,5 days,1
aspectj,org.aspectj.shadows.git,aspectj project repository,3 years,0
atf,org.eclipse.atf.git,atf project repository,4 years,0
b3,b3.git,b3 - Eclipse Tools for Software build and assembly,9 months,1
babel,plugins.git,Babel messages editor and plugins,12 days,1
babel,server.git,Babel LAMP-based translation server project.,4 weeks,1
bpel,org.eclipse.bpel.git,BPEL Designer Project,10 months,1
bpmn2,org.eclipse.bpmn2.git,MDT BPMN2 metamodel,2 months,1
bpmn2-modeler,org.eclipse.bpmn2-modeler.git,This is the BPMN2 Modeler project repository.,7 weeks,1
bpmnmodeler,.git,bpmnmodeler project repository,6 years,0
buckminster,buckminster.git,Buckminster Build Automation http://www.eclipse.org/buckminster,9 months,1
camf,org.eclipse.camf.git,Cloud Application Management Framework (CAMF) - http://www.eclipse.org/camf,14 months,0
capra,org.eclipse.capra.git,"Unnamed repository, edit this file 'description' to name the repository.",5 days,1
cbi,native-build-testing/eclipse.platform.releng.aggregator.git,Eclipse Platform Aggregator for native build testing,16 months,0
cbi,native-build-testing/eclipse.platform.swt.binaries.git,Eclipse Platform SWT Binaries for native build testing,16 months,0
cbi,native-build-testing/rt.equinox.binaries.git,Equinox launcher binaries for native build testing,11 months,0
cbi,org.eclipse.cbi.examples.git,[no description],23 months,0
cbi,org.eclipse.cbi.git,CBI Maven plugins and Webservices,17 hours,1
cbi,org.eclipse.cbi.p2repo.aggregator.git,"Source and build files for CBI p2repo Aggregator (aka ""b3 aggregator"")",19 hours,0
cbi,org.eclipse.cbi.p2repo.analyzers.git,"Source and build files for CBI p2repo Analyzers (aka ""repo reports and tests"")",5 days,0
cbi,org.eclipse.license.git,Eclipse License Feature,18 months,0
cdo,cdo.git,CDO,6 hours,1
cdo,cdo.incubator.git,CDO (Incubator),3 years,0
cdo,cdo.infrastructure.git,CDO (infrastructure),8 weeks,1
cdo,cdo.old.git,CDO Model Repository (Old),3 years,0
cdo,parent.git,Permissions for CDO project,3 years,0
cdt,org.eclipse.cdt.edc.git,Old EDC debugger. (obsolete),2 years,0
cdt,org.eclipse.cdt.git,Main CDT repo.,18 hours,1
cdt,org.eclipse.cdt.git.150113,Mystery CDT repo.,2 years,0
cdt,org.eclipse.cdt.master.git,Old CDT master build repo. (Obsolete),2 years,0
cdt,org.eclipse.cdt.old.git,Old experimental CDT plugins.,2 years,0
cdt,org.eclipse.launchbar.git,"Unnamed repository, edit this file 'description' to name the repository.",5 days,0
cdt,org.eclipse.tools.templates.git,"Unnamed repository, edit this file 'description' to name the repository.",5 days,0
chemclipse,org.eclipse.chemclipse.amdiscalri.git,Retention index calculation based on AMDIS *.cal files.,8 weeks,1
chemclipse,org.eclipse.chemclipse.amdismsdata.git,Import/export of AMDIS file formats (*.msl, *.msp, *.elu).,12 days,1
chemclipse,org.eclipse.chemclipse.baselinedetec.git,Baseline detector.,9 weeks,1
chemclipse,org.eclipse.chemclipse.baselinesnip.git,Baseline detector and mass spectrum filter (SNIP algorithm).,9 weeks,1
chemclipse,org.eclipse.chemclipse.chemclipse.git,ChemClipse product build files.,9 weeks,0
chemclipse,org.eclipse.chemclipse.chemclipse3rdpl.git,"Unnamed repository, edit this file 'description' to name the repository.",7 weeks,1
chemclipse,org.eclipse.chemclipse.chemclipsebatchj.git,Chromatogram batch processing.,9 weeks,1
chemclipse,org.eclipse.chemclipse.chemclipsecore.git,ChemClipse core platform.,5 days,1
chemclipse,org.eclipse.chemclipse.chemclipsems.git,ChemClipse file format (*.ocb),3 weeks,1
chemclipse,org.eclipse.chemclipse.chemclipsemsx.git,XML based file format for chromatogram.,9 weeks,1
chemclipse,org.eclipse.chemclipse.chemclipsequant.git,Chromatogram quantitation support.,3 weeks,1
chemclipse,org.eclipse.chemclipse.chemclipsesvg.git,Export of chromatograms to *.svg format.,9 weeks,1
chemclipse,org.eclipse.chemclipse.classifierdurbinwatson.git,Durbin-Watson classifier.,9 weeks,1
chemclipse,org.eclipse.chemclipse.classifierwnc.git,Water, nitrogen and carbon dioxide classifier.,9 weeks,1
chemclipse,org.eclipse.chemclipse.compilationbase.git,Feature defintions for the compilation.,9 weeks,1
