project_id,eco_avg_commits_developer,eco_num_commits,eco_num_contributors,eco_avg_commits_month,eco_avg_commits_week,eco_avg_commits_last_year,eco_ratio_outsiders,eco_ratio_commits_top_committers,eco_ratio_casuals
1,20.7500,166,8,13.8333,3.9524,166.0000,0.2222,0.9096,0.6250
2,309.0833,3709,12,41.6742,12.7021,177.0000,0.5385,0.6878,0.5000
3,64.4325,829,8,6.3078,3.0217,9.6667,NULL,0.9488,0.2897
5,363.0000,4719,13,38.6803,11.6807,37.0000,0.0769,0.7514,0.6154
6,64.5000,1032,16,18.4286,8.4590,45.0000,0.2941,0.9302,0.8125
7,26.7143,187,7,37.4000,11.6875,187.0000,0.2857,0.8930,0.4286
8,555.5714,7778,14,51.5099,14.6478,42.0000,0.2857,0.8541,0.7857
9,177.0000,1593,9,41.9211,16.4227,3.0000,0.3333,0.8927,0.5556
10,45.6041,787,17,8.7901,4.2778,10.0000,0.2222,0.8197,0.5209
11,61.2353,1041,17,13.6974,6.0173,6.0000,0.1111,0.5812,0.7059
12,36.0000,180,5,5.8065,3.3333,2.0000,NULL,0.8556,0.2000
13,228.6667,1372,6,22.4918,5.9652,89.0000,0.2857,0.9883,0.8333
14,37.6667,339,9,8.4750,4.0843,7.0000,0.3333,0.9528,0.7778
15,7.3333,22,3,11.0000,7.3333,22.0000,0.6667,1.0000,NULL
16,21.2941,362,17,9.0500,4.6410,94.0000,0.5556,0.8066,0.8235
17,346.9758,9927,31,50.4731,17.2830,95.5000,0.7188,0.9356,0.7339
19,25.3915,2013,11,3.6021,1.8904,21.0250,0.2857,0.9974,0.4305
20,285.8182,6288,22,62.2574,16.0818,19.0000,0.3182,0.6566,0.7727
21,95.2500,762,8,12.2903,6.3500,4.0000,NULL,0.8136,0.5000
22,29.7000,335,9,6.0580,3.0788,34.0000,0.3810,0.9819,0.5334
23,195.9375,6270,32,55.4867,15.0000,99.0000,0.3030,0.7841,0.9063
24,26.6908,2153,80,13.5291,4.7998,17.0000,0.3605,0.6133,0.8645
25,38.2250,865,16,14.9138,4.6228,106.0000,0.6714,0.9379,0.8666
26,12.5714,88,7,8.0000,4.6316,3.0000,NULL,0.9205,0.5714
28,365.2581,11323,31,78.0897,19.2896,203.0000,0.1562,0.8720,0.9032
31,103.1238,2099,5,13.5203,5.8420,17.7143,0.3333,0.9996,0.4611
32,47.1579,896,19,13.1765,7.0551,45.0000,0.3684,0.7768,0.7368
33,53.1111,478,9,11.9500,7.4688,25.0000,0.4000,0.9854,0.6667
35,322.1818,3544,11,44.8608,15.2759,226.0000,0.4545,0.8313,0.7273
37,196.1176,3334,17,74.0889,17.1856,703.0000,0.4444,0.9856,0.9412
38,115.6667,1041,9,52.0500,11.8295,540.0000,0.7000,0.9654,0.6667
40,39.7874,5053,127,56.7753,12.1466,446.0000,0.8915,0.4091,0.9606
41,147.8253,8511,37,32.3545,9.6212,39.0000,0.7411,0.8331,0.7366
42,211.8000,1059,5,27.8684,9.2895,209.0000,0.8333,0.9962,0.4000
43,76.8571,538,7,7.3699,3.3416,12.0000,NULL,0.8662,0.2857
44,173.0588,2942,17,48.2295,13.0756,42.0000,0.3333,0.7362,0.7059
45,66.1111,595,9,7.6282,3.3427,16.0000,NULL,0.8387,0.5556
46,69.8750,559,8,6.9875,2.9421,12.0000,NULL,0.8086,0.3750
47,12.1429,85,7,5.0000,3.2692,2.0000,NULL,0.7882,0.2857
48,138.9091,4584,33,68.4179,15.7526,467.0000,0.6471,0.6832,0.8485
49,137.0938,4387,32,38.4825,10.9129,143.0000,0.6667,0.5728,0.8438
50,173.1923,4488,14,31.6662,8.9641,2.5000,NULL,0.7269,0.5577
51,241.2500,2895,12,28.9500,7.9533,156.0000,0.2500,0.8622,0.7500
52,78.5046,10570,104,39.7122,10.3127,101.0000,0.5645,0.6325,0.9336
53,192.6000,2889,15,40.1250,10.4674,157.0000,0.7500,0.8692,0.8667
54,516.5714,3616,7,55.6308,17.2190,30.0000,0.2857,0.9782,0.5714
56,8.6000,86,10,6.1429,3.1852,47.0000,0.2727,0.5814,0.4000
58,20.6667,248,12,3.3514,2.0667,11.0000,NULL,0.8306,0.7500
