project_id,project_name,repository_name
1,4diac,org.eclipse.4diac.forte.git
2,acceleo,org.eclipse.acceleo.git
3,actf,org.eclipse.actf.ai.git
3,actf,org.eclipse.actf.common.git
3,actf,org.eclipse.actf.visualization.git
5,ajdt,org.eclipse.ajdt.git
6,amalgam,org.eclipse.amalgam.git
7,app4mc,org.eclipse.app4mc.git
8,aspectj,org.aspectj.git
9,b3,b3.git
10,babel,plugins.git
10,babel,server.git
11,bpel,org.eclipse.bpel.git
12,bpmn2,org.eclipse.bpmn2.git
13,bpmn2-modeler,org.eclipse.bpmn2-modeler.git
14,buckminster,buckminster.git
15,capra,org.eclipse.capra.git
16,cbi,org.eclipse.cbi.git
17,cdo,cdo.git
17,cdo,cdo.infrastructure.git
19,chemclipse,org.eclipse.chemclipse.rtshifter.git
19,chemclipse,org.eclipse.chemclipse.filterdenoising.git
19,chemclipse,org.eclipse.chemclipse.compmsdistance.git
19,chemclipse,org.eclipse.chemclipse.sumarea.git
19,chemclipse,org.eclipse.chemclipse.filtermfremover.git
19,chemclipse,org.eclipse.chemclipse.officeconnector.git
19,chemclipse,org.eclipse.chemclipse.amdiscalri.git
19,chemclipse,org.eclipse.chemclipse.convertermzdata.git
19,chemclipse,org.eclipse.chemclipse.chemclipsems.git
19,chemclipse,org.eclipse.chemclipse.xyconverter.git
19,chemclipse,org.eclipse.chemclipse.subtractfilter.git
19,chemclipse,org.eclipse.chemclipse.chemclipse3rdpl.git
19,chemclipse,org.eclipse.chemclipse.classifierdurbinwatson.git
19,chemclipse,org.eclipse.chemclipse.processpeakspca.git
19,chemclipse,org.eclipse.chemclipse.filemsdidentifier.git
19,chemclipse,org.eclipse.chemclipse.chemclipsebatchj.git
19,chemclipse,org.eclipse.chemclipse.chemclipsesvg.git
19,chemclipse,org.eclipse.chemclipse.filtersavgolay.git
19,chemclipse,org.eclipse.chemclipse.identpeakmanual.git
19,chemclipse,org.eclipse.chemclipse.convertermassbank.git
19,chemclipse,org.eclipse.chemclipse.mzmlconverter.git
19,chemclipse,org.eclipse.chemclipse.filterfidzeroset.git
19,chemclipse,org.eclipse.chemclipse.sncalcstein.git
19,chemclipse,org.eclipse.chemclipse.baselinesnip.git
19,chemclipse,org.eclipse.chemclipse.mzxmlmschrom.git
19,chemclipse,org.eclipse.chemclipse.occhromareport.git
19,chemclipse,org.eclipse.chemclipse.converteraniml.git
19,chemclipse,org.eclipse.chemclipse.xpassmsfilter.git
19,chemclipse,org.eclipse.chemclipse.chemclipsemsx.git
19,chemclipse,org.eclipse.chemclipse.amdismsdata.git
19,chemclipse,org.eclipse.chemclipse.peakdetecmanual.git
19,chemclipse,org.eclipse.chemclipse.peakintegrchems.git
19,chemclipse,org.eclipse.chemclipse.compmsincos.git
19,chemclipse,org.eclipse.chemclipse.classifierwnc.git
19,chemclipse,org.eclipse.chemclipse.chemclipsecore.git
19,chemclipse,org.eclipse.chemclipse.peakmax.git
19,chemclipse,org.eclipse.chemclipse.convertermz5.git
19,chemclipse,org.eclipse.chemclipse.filterbackfold.git
19,chemclipse,org.eclipse.chemclipse.matlabparafac.git
19,chemclipse,org.eclipse.chemclipse.ocjcampdx.git
19,chemclipse,org.eclipse.chemclipse.compilationbase.git
19,chemclipse,org.eclipse.chemclipse.sncalcdyson.git
19,chemclipse,org.eclipse.chemclipse.filtercoda.git
20,dali,webtools.dali.git
21,dash,org.eclipse.dash.dashboard.git
22,diffmerge,org.eclipse.emf.diffmerge.core.git
22,diffmerge,org.eclipse.emf.diffmerge.patterns.git
23,dltk,org.eclipse.dltk.core.git
24,e4,org.eclipse.e4.databinding.git
24,e4,org.eclipse.e4.tools.git
